"2020-08-11 09:59:49,124 INFO  [restartedMain] br.com.hdi.reinsurance.accounting.ReinsuranceApplication = Starting ReinsuranceApplication on HP-NOTEBOOK with PID 22172 (C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be\target\classes started by rpsilva in C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be)
""2020-08-11 14:14:41,366 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 1...
""2020-08-11 14:14:41,537 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 2...
""2020-08-11 14:14:41,538 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 2...
""2020-08-11 14:14:41,538 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 2...
""2020-08-11 14:14:41,601 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 3...
""2020-08-11 14:14:41,602 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 3...
""2020-08-11 14:14:41,603 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 3...
""2020-08-11 14:14:41,668 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 4...
""2020-08-11 14:14:41,668 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 4...
""2020-08-11 14:14:41,669 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 4...
""2020-08-11 14:14:41,732 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 5...
""2020-08-11 14:14:41,732 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 5...
""2020-08-11 14:14:41,732 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 5...
""2020-08-11 14:14:41,791 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 6...
""2020-08-11 14:14:41,792 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 6...
""2020-08-11 14:14:41,793 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 6...
""2020-08-11 14:14:41,863 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 7...
""2020-08-11 14:14:41,864 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 7...
""2020-08-11 14:14:41,864 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 7...
""2020-08-11 14:14:41,925 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 8...
""2020-08-11 14:14:41,925 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 8...
""2020-08-11 14:14:41,926 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 8...
""2020-08-11 14:14:41,999 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 9...
""2020-08-11 14:14:41,999 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 9...
""2020-08-11 14:14:42,000 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 9...
""2020-08-11 14:14:42,059 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 10...
""2020-08-11 14:14:42,059 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 10...
""2020-08-11 14:14:42,060 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 10...
""2020-08-11 14:14:42,116 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 11...
""2020-08-11 14:14:42,116 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 11...
""2020-08-11 14:14:42,116 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 11...
""2020-08-11 14:14:42,174 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 12...
""2020-08-11 14:14:42,174 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 12...
""2020-08-11 14:14:42,174 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END]   Updating database flag on row 12...
""2020-08-11 14:14:42,203 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = Successfully generated accounting for 12 rows
""2020-08-11 14:25:47,891 INFO  [restartedMain] br.com.hdi.reinsurance.accounting.ReinsuranceApplication = Starting ReinsuranceApplication on HP-NOTEBOOK with PID 54112 (C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be\target\classes started by rpsilva in C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be)
""2020-08-11 14:25:47,898 INFO  [restartedMain] br.com.hdi.reinsurance.accounting.ReinsuranceApplication = No active profile set, falling back to default profiles: default
""2020-08-11 14:25:48,081 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor = Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-08-11 14:25:48,081 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor = For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-08-11 14:25:54,847 INFO  [restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker = Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$53ddc498] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-08-11 14:25:58,194 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer = Tomcat initialized with port(s): 8080 (http)
""2020-08-11 14:25:58,678 INFO  [restartedMain] org.apache.catalina.core.StandardService = Starting service [Tomcat]
""2020-08-11 14:25:58,679 INFO  [restartedMain] org.apache.catalina.core.StandardEngine = Starting Servlet engine: [Apache Tomcat/9.0.22]
""2020-08-11 14:25:59,853 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] = Initializing Spring embedded WebApplicationContext
""2020-08-11 14:25:59,854 INFO  [restartedMain] org.springframework.web.context.ContextLoader = Root WebApplicationContext: initialization completed in 11773 ms
""2020-08-11 14:26:00,956 INFO  [restartedMain] org.springframework.aop.framework.CglibAopProxy = Unable to proxy interface-implementing method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is marked as final: Consider using interface-based JDK proxies instead!
""2020-08-11 14:26:01,399 INFO  [restartedMain] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor = Initializing ExecutorService 'applicationTaskExecutor'
""2020-08-11 14:26:02,336 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer = LiveReload server is running on port 35729
""2020-08-11 14:26:02,353 INFO  [restartedMain] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver = Exposing 2 endpoint(s) beneath base path '/actuator'
""2020-08-11 14:26:02,521 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer = Tomcat started on port(s): 8080 (http) with context path ''
""2020-08-11 14:26:02,530 INFO  [restartedMain] br.com.hdi.reinsurance.accounting.ReinsuranceApplication = Started ReinsuranceApplication in 15.825 seconds (JVM running for 17.253)
""2020-08-11 14:42:49,362 INFO  [http-nio-8080-exec-2] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] = Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-08-11 14:42:49,363 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet = Initializing Servlet 'dispatcherServlet'
""2020-08-11 14:42:49,409 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet = Completed initialization in 45 ms
""2020-08-11 14:42:49,647 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.controller.ReinsuranceController = Business Validation - REQUEST PARAMS: xCompanyId:1 | xApplicationId:2 | xUserId:"icatu" | xTraceId:"4"
""2020-08-11 14:42:49,702 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing PMD Accounting...
""2020-08-11 14:42:49,712 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Getting param date to filter PMD ...
""2020-08-11 14:42:54,955 WARN  [http-nio-8080-exec-2] org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver = Resolved [br.com.hdi.reinsurance.accounting.handle.ApiException: I/O error on GET request for "https://openapi-dev-internal.hdi.com.br/corporate/integration/v1/queryconnector": Remote host closed connection during handshake; nested exception is javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake]
""2020-08-11 14:43:05,394 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.controller.ReinsuranceController = Business Validation - REQUEST PARAMS: xCompanyId:1 | xApplicationId:2 | xUserId:"icatu" | xTraceId:"4"
""2020-08-11 14:43:05,396 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing PMD Accounting...
""2020-08-11 14:43:05,417 INFO  [http-nio-8080-exec-3] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Getting param date to filter PMD ...
